Arch,SA_avg,SA_Tn,SDR,Hazard Level
S8H14SEAWBPG2,0.070511881,0.149946347,0.005633833,475
S8H14SEAWBPG2,0.084029967,0.149946347,0.009858583,475
S8H14SEAWBPG2,0.090925867,0.149946347,0.006986833,475
S8H14SEAWBPG2,0.053721848,0.149946347,0.005457167,475
S8H14SEAWBPG2,0.07069126,0.149946347,0.005825333,475
S8H14SEAWBPG2,0.122834288,0.149946347,0.004355667,475
S8H14SEAWBPG2,0.076367591,0.149946347,0.00933575,475
S8H14SEAWBPG2,0.068815259,0.149946347,0.006048583,475
S8H14SEAWBPG2,0.051977234,0.149946347,0.004623,475
S8H14SEAWBPG2,0.079319204,0.149946347,0.00450175,475
S8H14SEAWBPG2,0.063819977,0.149946347,0.01172525,475
S8H14SEAWBPG2,0.064683941,0.149946347,0.00991025,475
S8H14SEAWBPG2,0.063292978,0.149946347,0.007837667,475
S8H14SEAWBPG2,0.122815521,0.149946347,0.008855083,475
S8H14SEAWBPG2,0.074317586,0.149946347,0.010504917,475
S8H14SEAWBPG2,0.064150445,0.149946347,0.004074,475
S8H14SEAWBPG2,0.083490048,0.149946347,0.006319917,475
S8H14SEAWBPG2,0.075260434,0.149946347,0.010294833,475
S8H14SEAWBPG2,0.082658952,0.149946347,0.01404275,475
S8H14SEAWBPG2,0.029812789,0.149946347,0.003164417,475
S8H14SEAWBPG2,0.049961816,0.149946347,0.0045605,475
S8H14SEAWBPG2,0.066555831,0.149946347,0.008893833,475
S8H14SEAWBPG2,0.072821882,0.149946347,0.007511167,475
S8H14SEAWBPG2,0.105169012,0.149946347,0.011894833,475
S8H14SEAWBPG2,0.080930233,0.149946347,0.003522167,475
S8H14SEAWBPG2,0.071446125,0.149946347,0.007009,475
S8H14SEAWBPG2,0.122064023,0.149946347,0.012962083,475
S8H14SEAWBPG2,0.055167475,0.149946347,0.005897667,475
S8H14SEAWBPG2,0.069966187,0.149946347,0.01120625,475
S8H14SEAWBPG2,0.060561335,0.149946347,0.004678417,475
S8H14SEAWBPG2,0.042790757,0.149946347,0.0103255,475
S8H14SEAWBPG2,0.054229718,0.149946347,0.008712833,475
S8H14SEAWBPG2,0.084478419,0.149946347,0.004537667,475
S8H14SEAWBPG2,0.050930041,0.149946347,0.00957475,475
S8H14SEAWBPG2,0.069378748,0.149946347,0.009082667,475
S8H14SEAWBPG2,0.053595744,0.149946347,0.014492,475
S8H14SEAWBPG2,0.060955519,0.149946347,0.013332667,475
S8H14SEAWBPG2,0.051699615,0.149946347,0.01003725,475
S8H14SEAWBPG2,0.102599638,0.149946347,0.009533417,475
S8H14SEAWBPG2,0.074160691,0.149946347,0.00550375,475
S8H14SEAWBPG2,0.122867483,0.149946347,0.009763167,475
S8H14SEAWBPG2,0.058178158,0.149946347,0.0107095,475
S8H14SEAWBPG2,0.040970512,0.149946347,0.007623,475
S8H14SEAWBPG2,0.077577831,0.149946347,0.009956417,475
S8H14SEAWBPG2,0.054232121,0.149946347,0.009040333,475
S8H14SEAWBPG2,0.102329667,0.149946347,0.014399333,475
S8H14SEAWBPG2,0.052433846,0.149946347,0.010813333,475
S8H14SEAWBPG2,0.178082446,0.149946347,0.012252583,475
S8H14SEAWBPG2,0.09222351,0.149946347,0.011270917,475
S8H14SEAWBPG2,0.105550396,0.149946347,0.006540833,475
S8H14SEAWBPG2,0.098231526,0.149946347,0.009105583,475
S8H14SEAWBPG2,0.10745523,0.149946347,0.005679417,475
S8H14SEAWBPG2,0.062699586,0.149946347,0.010913417,475
S8H14SEAWBPG2,0.066361677,0.149946347,0.004081417,475
S8H14SEAWBPG2,0.093170555,0.149946347,0.008283833,475
S8H14SEAWBPG2,0.086656607,0.149946347,0.007211583,475
S8H14SEAWBPG2,0.065121174,0.149946347,0.008648333,475
S8H14SEAWBPG2,0.068770444,0.149946347,0.012768333,475
S8H14SEAWBPG2,0.076539973,0.149946347,0.008869667,475
S8H14SEAWBPG2,0.088070229,0.149946347,0.0050655,475
S8H14SEAWBPG2,0.116390836,0.149946347,0.006334167,475
S8H14SEAWBPG2,0.076735604,0.149946347,0.004647,475
S8H14SEAWBPG2,0.101847006,0.149946347,0.01008325,475
S8H14SEAWBPG2,0.074199501,0.149946347,0.00788025,475
S8H14SEAWBPG2,0.088904224,0.149946347,0.005537833,475
S8H14SEAWBPG2,0.065875318,0.149946347,0.006887,475
S8H14SEAWBPG2,0.111708985,0.149946347,0.007423,475
S8H14SEAWBPG2,0.093545974,0.149946347,0.007904333,475
S8H14SEAWBPG2,0.065542094,0.149946347,0.006941333,475
S8H14SEAWBPG2,0.0786885,0.149946347,0.007018583,475
S8H14SEAWBPG2,0.060919421,0.149946347,0.009750917,475
S8H14SEAWBPG2,0.095578199,0.149946347,0.008631167,475
S8H14SEAWBPG2,0.046141311,0.149946347,0.00529325,475
